"Entity"|"Parent"|"Alias: Default"|"Alias: Legacy"|"Valid For Consolidations"|"Data Storage"|"Two Pass Calculation"|"Description"|"Formula"|"Formula Description"|"UDA"|"Smart List"|"Data Type"|"Hierarchy Type"|"Enable for Dynamic Children"|"Number of Possible Dynamic Children"|"Access Granted to Member Creator"|"Allow Upper Level Entity Input"|"Process Management Enabled"|"UUID"|"Data Id"|"Old Name"|"Old Unique Name"|"Base Currency"|"Plan Type (BB_Plan)"|"Aggregation (BB_Plan)"|"Data Storage (BB_Plan)"|"Formula (BB_Plan)"|"Solve Order (BB_Plan)"|"Formula Description (BB_Plan)"|"Plan Type (BB_Rpt)"|"Aggregation (BB_Rpt)"|"Data Storage (BB_Rpt)"|"Formula (BB_Rpt)"|"Solve Order (BB_Rpt)"|"Formula Description (BB_Rpt)"|"Plan Type (E_Curve)"|"Aggregation (E_Curve)"|"Data Storage (E_Curve)"|"Formula (E_Curve)"|"Solve Order (E_Curve)"|"Formula Description (E_Curve)"|"Plan Type (BB_Cash)"|"Aggregation (BB_Cash)"|"Data Storage (BB_Cash)"|"Formula (BB_Cash)"|"Solve Order (BB_Cash)"|"Formula Description (BB_Cash)"|"Bonding"|"Consult Job"|"Contract Role"|"Contract Type"|"External Joint Venture"|"Green Builder"|"Facility Type"|"Internal Job Flag"|"Internal Joint Venture"|"Job Status"|"Procurement"|"Sector"|"State"|"Wrap"|"UK Industry"|"Original Projection"|"Complex Job Flag"|"Federal Flag"|"BIM Flag"|"Renovation Flag"|"Special Project Flag"|"Interior Flag"|"Enabling Function"|"Company External Joint Venture"|"Company Equity Joint Venture"|"Operation"
"BS_020002"|"MG_Office_205"|"BALFOUR BEATTY-ENGLISH, A JV (020002)"|"BS_20002"|"false"|"never share"|"false"|""|"<none>"|"<none>"|""|""|"unspecified"|"stored"|""|""|""|"false"|"true"|"0084538b-4048-4f68-8fd5-26cb59a5648b"|"51862"|"BS_020002"|"[MG_Office_205].[BS_020002]"|"USD"|"true"|"+"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|"false"|"~"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|""|""|""|""|"EXT JV"|""|""|""|""|"BALANCE SHEET BU"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"BS_020003"|"MG_Office_205"|"BALFOUR BEATTY/DPR/BIG D, A (020003)"|"BS_20003"|"false"|"never share"|"false"|""|"<none>"|"<none>"|""|""|"unspecified"|"stored"|""|""|""|"false"|"true"|"ad05051d-f757-4222-827e-4a85304b6a09"|"51869"|"BS_020003"|"[MG_Office_205].[BS_020003]"|"USD"|"true"|"+"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|"false"|"~"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|""|""|""|""|"EXT JV"|""|""|""|""|"BALANCE SHEET BU"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"BS_020004"|"MG_Office_205"|"BALFOUR BEATTY/SMOOT, A JV (020004)"|"BS_20004"|"false"|"never share"|"false"|""|"<none>"|"<none>"|""|""|"unspecified"|"stored"|""|""|""|"false"|"true"|"36651ed5-2449-49f5-9839-3340817b9fa9"|"51881"|"BS_020004"|"[MG_Office_205].[BS_020004]"|"USD"|"true"|"+"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|"false"|"~"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|""|""|""|""|"EXT JV"|""|""|""|""|"BALANCE SHEET BU"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"BS_020005"|"MG_Office_205"|"BALFOUR BEATTY CNST, LLC - RA4 (020005)"|"BS_20005"|"false"|"never share"|"false"|""|"<none>"|"<none>"|""|""|"unspecified"|"stored"|""|""|""|"false"|"true"|"ed3f55b6-4dc2-4691-9c3b-55f461d76569"|"51891"|"BS_020005"|"[MG_Office_205].[BS_020005]"|"USD"|"true"|"+"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|"false"|"~"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|""|""|""|""|""|""|""|""|""|"BALANCE SHEET BU"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"BS_020006"|"MG_Office_205"|"BALFOUR BEATTY - CLARK JV DIST (020006)"|"BS_20006"|"false"|"never share"|"false"|""|"<none>"|"<none>"|""|""|"unspecified"|"stored"|""|""|""|"false"|"true"|"58ddbac3-f80d-4155-a81d-3f28c3a0b154"|"51901"|"BS_020006"|"[MG_Office_205].[BS_020006]"|"USD"|"true"|"+"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|"false"|"~"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|""|""|""|""|""|""|""|""|""|"BALANCE SHEET BU"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"BS_020042"|"MG_Office_205"|"BALFOUR BEATTY GILFORD, JV (020042)"|"BS_20042"|"false"|"never share"|"false"|""|"<none>"|"<none>"|""|""|"unspecified"|"stored"|""|""|""|"false"|"true"|"28128b63-ee65-4201-94e0-0d22c566ca5d"|"51942"|"BS_020042"|"[MG_Office_205].[BS_020042]"|"USD"|"true"|"+"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|"false"|"~"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|""|""|""|""|"EXT JV"|""|""|""|""|"BALANCE SHEET BU"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"BS_020050"|"MG_Office_205"|""|""|"false"|"never share"|"false"|""|"<none>"|"<none>"|""|""|"unspecified"|"stored"|""|""|""|"false"|"true"|"be3349f7-e38f-403d-b100-a91e119b98ff"|"51946"|"BS_020050"|"[MG_Office_205].[BS_020050]"|"USD"|"true"|"+"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|"false"|"+"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|""|""|""|""|""|""|""|""|""|"BALANCE SHEET BU"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"BS_022000"|"MG_Office_205"|"BALFOUR BEATTY CONSTR. MAC,LLC (022000)"|"BS_22000"|"false"|"never share"|"false"|""|"<none>"|"<none>"|""|""|"unspecified"|"stored"|""|""|""|"false"|"true"|"fc46d32c-1381-41ff-9f65-18c8a3a27539"|"51957"|"BS_022000"|"[MG_Office_205].[BS_022000]"|"USD"|"true"|"+"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|"false"|"~"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|""|""|""|""|""|""|""|""|""|"BALANCE SHEET BU"|""|""|""|""|""|""|""|""|""|""|""|""|"General Management"|""|""|""
"IS_020100"|"MG_Office_205"|"ADMINISTRATION (020100)"|"IS_20100"|"false"|"never share"|"false"|""|"<none>"|"<none>"|""|""|"unspecified"|"stored"|""|""|""|"false"|"true"|"9b73f6e9-e22f-466d-898a-b5117a82ac51"|"51463"|"IS_020100"|"[MG_Office_205].[IS_020100]"|"USD"|"true"|"+"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|"false"|"~"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|""|""|""|""|""|""|""|""|""|"INCOME STATEMENT BU"|""|"PRIVATE SECTOR"|""|""|"UK_COMMERCIAL"|""|""|""|""|""|""|""|"General Management"|""|""|""
"IS_020105"|"MG_Office_205"|"ADMINISTRATION - RA4 (020105)"|"IS_20105"|"false"|"never share"|"false"|""|"<none>"|"<none>"|""|""|"unspecified"|"stored"|""|""|""|"false"|"true"|"62b4b149-2fb1-4353-b820-c3d75de3f0f5"|"51894"|"IS_020105"|"[MG_Office_205].[IS_020105]"|"USD"|"true"|"+"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|"false"|"~"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|""|""|""|""|""|""|""|""|""|"INCOME STATEMENT BU"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"IS_020106"|"MG_Office_205"|"BBC CLARK JV DISTRBUTION-ADMIN (020106)"|"IS_20106"|"false"|"never share"|"false"|""|"<none>"|"<none>"|""|""|"unspecified"|"stored"|""|""|""|"false"|"true"|"6bdd731d-2e1d-477c-b082-abd19bd9e8e4"|"51904"|"IS_020106"|"[MG_Office_205].[IS_020106]"|"USD"|"true"|"+"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|"false"|"~"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|""|""|""|""|""|""|""|""|""|"INCOME STATEMENT BU"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"IS_020800"|"MG_Office_205"|"OPERATIONS (020800)"|"IS_20800"|"false"|"never share"|"false"|""|"<none>"|"<none>"|""|""|"unspecified"|"stored"|""|""|""|"false"|"true"|"231572cc-7d99-4c81-ace6-625e7852d9ff"|"51464"|"IS_020800"|"[MG_Office_205].[IS_020800]"|"USD"|"true"|"+"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|"false"|"~"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|""|""|""|""|""|""|""|""|""|"INCOME STATEMENT BU"|""|"PRIVATE SECTOR"|""|""|"UK_COMMERCIAL"|""|""|""|""|""|""|""|"Operations"|""|""|""
"IS_020890"|"MG_Office_205"|"SAFETY (020890)"|"IS_20890"|"false"|"never share"|"false"|""|"<none>"|"<none>"|""|""|"unspecified"|"stored"|""|""|""|"false"|"true"|"75e3bd20-1ff2-4529-ada0-ae7a0ddce896"|"51465"|"IS_020890"|"[MG_Office_205].[IS_020890]"|"USD"|"true"|"+"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|"false"|"~"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|""|""|""|""|""|""|""|""|""|"INCOME STATEMENT BU"|""|""|""|""|""|""|""|""|""|""|""|""|"Health and Safety"|""|""|""
"IS_020999"|"MG_Office_205"|"CORPORATE ALLOCATION - MA (020999)"|""|"false"|"never share"|"false"|""|"<none>"|"<none>"|""|""|"unspecified"|"stored"|""|""|""|"false"|"true"|"47fedc4f-33fe-40c9-95bf-d5eb651f419d"|"273431"|"IS_020999"|"[MG_Office_205].[IS_020999]"|"USD"|"true"|"+"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|"false"|"+"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|""|""|""|""|""|""|""|""|""|"INCOME STATEMENT BU"|""|""|""|""|""|""|""|""|""|""|""|""|"General Management"|""|""|""
"IS_022100"|"MG_Office_205"|"BBC MAC ? ADMIN (022100)"|"IS_22100"|"false"|"never share"|"false"|""|"<none>"|"<none>"|""|""|"unspecified"|"stored"|""|""|""|"false"|"true"|"e174a54a-bbdf-4cf2-83a2-58e3b6b18362"|"51960"|"IS_022100"|"[MG_Office_205].[IS_022100]"|"USD"|"true"|"+"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|"false"|"~"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|""|""|""|""|""|""|""|""|""|"INCOME STATEMENT BU"|""|""|""|""|""|""|""|""|""|""|""|""|"General Management"|""|""|""
"OH_020110"|"MG_Office_205"|"EXECUTIVE (020110)"|"OH_20110"|"false"|"never share"|"false"|""|"<none>"|"<none>"|""|""|"unspecified"|"stored"|""|""|""|"false"|"true"|"1c04d604-d1af-45d2-9e03-6d1f583961cb"|"51466"|"OH_020110"|"[MG_Office_205].[OH_020110]"|"USD"|"true"|"+"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|"false"|"~"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|""|""|""|""|""|""|""|""|""|"OVERHEAD BU ALLOC"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"OH_020120"|"MG_Office_205"|"LEGAL (020120)"|"OH_20120"|"false"|"never share"|"false"|""|"<none>"|"<none>"|""|""|"unspecified"|"stored"|""|""|""|"false"|"true"|"c1e8ec11-8540-42ea-9b35-b41ca213a518"|"51467"|"OH_020120"|"[MG_Office_205].[OH_020120]"|"USD"|"true"|"+"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|"false"|"~"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|""|""|""|""|""|""|""|""|""|"OVERHEAD BU ALLOC"|""|""|""|""|""|""|""|""|""|""|""|""|"Legal, Secretariat and Ethics"|""|""|""
"OH_020130"|"MG_Office_205"|"HUMAN RESOURCES (020130)"|"OH_20130"|"false"|"never share"|"false"|""|"<none>"|"<none>"|""|""|"unspecified"|"stored"|""|""|""|"false"|"true"|"d34031e8-dbba-4d06-9a3d-9d2d57bf0142"|"51468"|"OH_020130"|"[MG_Office_205].[OH_020130]"|"USD"|"true"|"+"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|"false"|"~"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|""|""|""|""|""|""|""|""|""|"OVERHEAD BU ALLOC"|""|""|""|""|""|""|""|""|""|""|""|""|"Human Resources"|""|""|""
"OH_020140"|"MG_Office_205"|"TRAINING (020140)"|"OH_20140"|"false"|"never share"|"false"|""|"<none>"|"<none>"|""|""|"unspecified"|"stored"|""|""|""|"false"|"true"|"c517ea01-55f9-454e-baa7-b97da755f139"|"51469"|"OH_020140"|"[MG_Office_205].[OH_020140]"|"USD"|"true"|"+"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|"false"|"~"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|""|""|""|""|""|""|""|""|""|"OVERHEAD BU ALLOC"|""|""|""|""|""|""|""|""|""|""|""|""|"General Management"|""|""|""
"OH_020150"|"MG_Office_205"|"PROPERTY (020150)"|"OH_20150"|"false"|"never share"|"false"|""|"<none>"|"<none>"|""|""|"unspecified"|"stored"|""|""|""|"false"|"true"|"11026b51-5c6f-41b6-8e19-1bf9465367da"|"51470"|"OH_020150"|"[MG_Office_205].[OH_020150]"|"USD"|"true"|"+"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|"false"|"~"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|""|""|""|""|""|""|""|""|""|"OVERHEAD BU ALLOC"|""|""|""|""|""|""|""|""|""|""|""|""|"Property"|""|""|""
"OH_020200"|"MG_Office_205"|"FINANCIAL SERVICES (020200)"|"OH_20200"|"false"|"never share"|"false"|""|"<none>"|"<none>"|""|""|"unspecified"|"stored"|""|""|""|"false"|"true"|"ddbe485a-f241-47bd-bb12-6f4f0037877a"|"51487"|"OH_020200"|"[MG_Office_205].[OH_020200]"|"USD"|"true"|"+"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|"false"|"~"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|""|""|""|""|""|""|""|""|""|"OVERHEAD BU ALLOC"|""|""|""|""|""|""|""|""|""|""|""|""|"Finance"|""|""|""
"OH_020400"|"MG_Office_205"|"BUS DEV / COMMUNICATIONS (020400)"|"OH_20400"|"false"|"never share"|"false"|""|"<none>"|"<none>"|""|""|"unspecified"|"stored"|""|""|""|"false"|"true"|"6114c485-70c0-48c6-95a7-beb11923f2a9"|"51488"|"OH_020400"|"[MG_Office_205].[OH_020400]"|"USD"|"true"|"+"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|"false"|"~"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|""|""|""|""|""|""|""|""|""|"OVERHEAD BU ALLOC"|""|""|""|""|""|""|""|""|""|""|""|""|"Work Winning"|""|""|""
"OH_020405"|"MG_Office_205"|"BUS DEV / SHOUTHER VIRGINIA (020405)"|"OH_20405"|"false"|"never share"|"false"|""|"<none>"|"<none>"|""|""|"unspecified"|"stored"|""|""|""|"false"|"true"|"88cf7813-d3ef-4c81-8e5a-37d93b66ced2"|"51489"|"OH_020405"|"[MG_Office_205].[OH_020405]"|"USD"|"true"|"+"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|"false"|"~"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|""|""|""|""|""|""|""|""|""|"OVERHEAD BU ALLOC"|""|""|""|""|""|""|""|""|""|""|""|""|"Communications"|""|""|""
"OH_020500"|"MG_Office_205"|"BUSINESS ACQUISITION (020500)"|"OH_20500"|"false"|"never share"|"false"|""|"<none>"|"<none>"|""|""|"unspecified"|"stored"|""|""|""|"false"|"true"|"223d9c55-691d-4581-a758-ecb4fa5ed543"|"51490"|"OH_020500"|"[MG_Office_205].[OH_020500]"|"USD"|"true"|"+"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|"false"|"~"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|""|""|""|""|""|""|""|""|""|"OVERHEAD BU ALLOC"|""|""|""|""|""|""|""|""|""|""|""|""|"Work Winning"|""|""|""
